epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.3926086319758002,0.7243495899073302,0.9377790093421936,0.58385426,0.56257856,0.03809296,0.017871175
2,0.4668119096365554,0.7826759437201521,0.6239933967590332,0.29182673,0.42302898,0.015882403,0.012233519
3,0.5067348305818037,0.8314185002879493,0.7234330773353577,0.25714624,0.4224225,0.011923365,0.010645098
4,0.4555744067817535,0.7898971389263074,0.499178946018219,0.23176825,0.40354612,0.010422087,0.009914769
5,0.44063172570125597,0.7610753164744601,0.3788098692893982,0.20875777,0.38488725,0.009440453,0.009462685
6,0.4177893071979302,0.7506289078915036,0.5217188596725464,0.19913998,0.37377807,0.008646475,0.009336234
7,0.3960901807623159,0.7158817232674359,0.6088829636573792,0.18319052,0.35502806,0.008096696,0.008938773
8,0.40104105428347997,0.7213902223455928,0.46653515100479126,0.17260838,0.34955162,0.0072903647,0.008236461
9,0.36688808786021815,0.6786118597865651,0.24249424040317535,0.1652387,0.342146,0.0070815496,0.00801695
10,0.4281958121594792,0.7574638152337345,0.3120959401130676,0.15776192,0.33119026,0.006224669,0.0074689365
11,0.39836662593675715,0.7218557707441596,0.29496368765830994,0.14677274,0.31832415,0.006170346,0.007440083
12,0.42701644219812795,0.7465879402018025,0.5563609004020691,0.14299987,0.31056002,0.006115322,0.0072850655
13,0.3757213144192815,0.6902338091588137,0.045158643275499344,0.13859351,0.30668768,0.0059411465,0.0070230174
14,0.403861995462457,0.7361388715489124,0.6126135587692261,0.13270715,0.2969846,0.0055798483,0.0067550447
15,0.3650494141303266,0.6844591518651576,0.1439845860004425,0.12902236,0.28899056,0.005430894,0.0066518723
16,0.41021631891202176,0.7244895499976007,0.41036906838417053,0.12755369,0.29098687,0.00509468,0.006585437
17,0.3873381464323738,0.7029222961256733,0.17232689261436462,0.12190689,0.28088087,0.0048711943,0.006363466
18,0.36676970712138307,0.6860361424897743,0.39603474736213684,0.11530055,0.26961765,0.0047825035,0.006215576
19,0.3612665884745962,0.665167637372236,0.3340812921524048,0.113832496,0.2717043,0.0044884,0.0060067377
20,0.368730903273119,0.6839701319606105,0.27292728424072266,0.11604561,0.2681305,0.004624778,0.0059209624
21,0.3917247633607061,0.7119728808299924,0.23327384889125824,0.10828395,0.2567415,0.004528588,0.005769788
22,0.3670556533956201,0.6718315685828067,0.41941046714782715,0.10985294,0.2612096,0.0042241537,0.005488868
23,0.36553914438565854,0.6850644736319194,0.36222097277641296,0.105035774,0.25046775,0.0043340074,0.005654144
24,0.38287644088815975,0.707489483986617,0.2856898605823517,0.10295452,0.24835931,0.004315168,0.005806914
25,0.367569839391308,0.6814144243591054,0.20456135272979736,0.100278884,0.23949264,0.0041534277,0.0056230263
