               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025089,            0.013654,            0.029757,             0.76843,             0.90595,             0.82487,             0.82164,             0.01071,           0.0014891,           0.0065688,             0.07004,           0.0033289,           0.0033289
                   1,             0.01535,           0.0066786,            0.018509,             0.86443,             0.88308,              0.9459,             0.73196,           0.0083389,           0.0021738,           0.0044131,            0.039776,           0.0063984,           0.0063984
                   2,            0.013089,           0.0061273,            0.016466,             0.89959,             0.88563,             0.95841,             0.88311,           0.0035877,           0.0014502,           0.0035849,           0.0092484,           0.0092039,           0.0092039
                   3,            0.010708,           0.0058939,            0.017889,             0.94474,             0.93014,             0.97966,             0.86144,           0.0044891,           0.0020186,           0.0026538,            0.008812,            0.008812,            0.008812
                   4,           0.0086277,           0.0050625,            0.015702,             0.93854,             0.92487,             0.98358,              0.8944,           0.0038143,           0.0018088,           0.0025014,            0.008812,            0.008812,            0.008812
                   5,           0.0073364,            0.004498,            0.014772,             0.94763,             0.91292,             0.98396,             0.94096,           0.0027559,           0.0023633,           0.0027843,            0.008416,            0.008416,            0.008416
                   6,           0.0067174,           0.0040796,            0.013896,             0.96894,             0.96037,             0.99173,             0.97515,           0.0025675,            0.002748,           0.0013659,             0.00802,             0.00802,             0.00802
                   7,           0.0060066,           0.0038262,            0.013169,             0.98001,             0.95728,             0.99158,             0.94143,           0.0027082,           0.0020249,           0.0013955,            0.007624,            0.007624,            0.007624
                   8,           0.0056117,           0.0036431,            0.012608,             0.96873,             0.96283,             0.99283,              0.9594,           0.0023152,           0.0020798,           0.0012903,            0.007228,            0.007228,            0.007228
                   9,           0.0050466,           0.0033642,            0.011736,             0.97758,             0.97637,             0.99234,             0.94438,            0.002932,           0.0020434,          0.00096511,            0.006832,            0.006832,            0.006832
                  10,           0.0050351,           0.0033028,             0.01131,             0.98549,             0.97607,             0.99343,             0.91461,           0.0032749,           0.0022407,          0.00075132,            0.006436,            0.006436,            0.006436
                  11,            0.004585,           0.0030145,            0.010576,             0.97911,             0.97362,             0.99333,             0.90104,           0.0032681,           0.0024356,          0.00097204,             0.00604,             0.00604,             0.00604
                  12,           0.0041175,           0.0029663,            0.010782,             0.98242,             0.98263,             0.99417,             0.93598,           0.0025976,           0.0023928,           0.0007256,            0.005644,            0.005644,            0.005644
                  13,           0.0040549,           0.0027952,             0.01024,             0.98725,             0.98701,             0.99466,             0.95867,           0.0025086,           0.0026121,           0.0006888,            0.005248,            0.005248,            0.005248
                  14,           0.0036979,           0.0026609,           0.0096907,             0.98979,             0.97372,             0.99425,             0.94782,           0.0025592,            0.003426,          0.00075429,            0.004852,            0.004852,            0.004852
                  15,           0.0034055,           0.0025818,           0.0093277,             0.99606,             0.98531,             0.99472,             0.94149,            0.002662,           0.0025034,           0.0004493,            0.004456,            0.004456,            0.004456
                  16,           0.0033699,           0.0024056,           0.0088411,             0.97552,             0.98126,             0.99398,             0.91087,           0.0027174,           0.0032123,          0.00079655,             0.00406,             0.00406,             0.00406
                  17,           0.0029352,           0.0023715,           0.0083156,             0.98212,             0.98187,             0.99422,             0.97742,           0.0022468,           0.0030949,          0.00072592,            0.003664,            0.003664,            0.003664
                  18,           0.0027345,           0.0022398,           0.0084478,             0.99053,             0.98733,             0.99467,              0.9589,           0.0025448,           0.0027671,          0.00051857,            0.003268,            0.003268,            0.003268
                  19,           0.0026944,           0.0021677,           0.0080614,             0.99331,              0.9861,             0.99478,              0.9161,           0.0026989,           0.0035288,          0.00048792,            0.002872,            0.002872,            0.002872
                  20,           0.0024388,           0.0020448,           0.0079008,             0.99402,             0.98716,             0.99448,              0.9936,           0.0018168,           0.0030833,           0.0004814,            0.002476,            0.002476,            0.002476
                  21,           0.0021272,           0.0019486,           0.0071549,             0.99434,              0.9926,             0.99479,             0.98605,            0.002238,           0.0026498,          0.00037784,             0.00208,             0.00208,             0.00208
                  22,           0.0020324,           0.0018677,           0.0075943,             0.99488,             0.98742,             0.99484,             0.99172,           0.0023677,           0.0032641,          0.00040294,            0.001684,            0.001684,            0.001684
                  23,           0.0016434,           0.0017469,           0.0069387,             0.99604,             0.98792,             0.99486,             0.98682,           0.0024039,           0.0033754,          0.00035819,            0.001288,            0.001288,            0.001288
                  24,           0.0013921,            0.001632,           0.0066717,             0.99727,             0.99198,              0.9949,              0.9814,           0.0023667,           0.0039534,          0.00028457,            0.000892,            0.000892,            0.000892
