               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041437,            0.020075,            0.032314,             0.62557,             0.74079,             0.64192,             0.30352,            0.025048,           0.0039851,            0.011897,            0.070068,           0.0033258,           0.0033258
                   1,            0.030917,             0.01392,            0.018248,             0.78195,             0.76951,             0.82152,             0.48849,            0.021362,           0.0038004,           0.0074304,            0.039804,           0.0063954,           0.0063954
                   2,            0.030442,            0.014178,             0.01573,             0.64542,             0.65918,             0.65627,             0.32878,            0.025754,           0.0044098,            0.008723,           0.0092768,            0.009201,            0.009201
                   3,            0.029002,            0.015126,            0.017866,             0.74626,             0.76067,             0.75785,             0.36978,            0.024644,           0.0042753,           0.0083677,            0.008812,            0.008812,            0.008812
                   4,            0.028311,            0.015164,            0.017815,              0.7734,             0.69021,             0.75673,             0.39739,            0.025273,           0.0042909,           0.0090345,            0.008812,            0.008812,            0.008812
                   5,            0.027337,            0.014981,            0.016719,             0.79818,              0.7875,             0.81621,             0.46466,            0.023623,           0.0042481,           0.0063619,            0.008416,            0.008416,            0.008416
                   6,            0.025846,             0.01426,            0.014019,             0.80858,             0.81808,             0.84546,              0.5036,            0.022056,           0.0038797,           0.0050798,             0.00802,             0.00802,             0.00802
                   7,            0.024419,            0.013924,            0.012801,             0.84927,             0.86467,             0.86434,             0.52186,            0.020715,           0.0038813,           0.0044633,            0.007624,            0.007624,            0.007624
                   8,            0.023419,             0.01374,            0.012613,             0.83979,             0.83626,             0.85985,             0.53433,            0.020794,           0.0039407,           0.0042308,            0.007228,            0.007228,            0.007228
                   9,            0.022999,            0.013515,            0.012028,                0.77,              0.8018,             0.80854,             0.51703,            0.019991,            0.003894,           0.0057003,            0.006832,            0.006832,            0.006832
                  10,            0.022337,            0.013395,            0.011194,             0.87321,             0.87542,             0.89669,             0.56582,            0.018862,           0.0036936,           0.0034141,            0.006436,            0.006436,            0.006436
                  11,            0.021828,            0.013189,            0.011466,             0.87902,             0.87336,             0.89789,             0.58693,            0.018577,           0.0035633,           0.0029619,             0.00604,             0.00604,             0.00604
                  12,              0.0216,            0.012795,            0.010228,             0.88659,             0.89319,             0.91219,             0.61906,            0.018172,           0.0034491,           0.0030847,            0.005644,            0.005644,            0.005644
                  13,            0.020208,            0.012532,           0.0089875,              0.8946,             0.87624,             0.91368,              0.6212,            0.018341,           0.0033847,           0.0028144,            0.005248,            0.005248,            0.005248
                  14,            0.019755,            0.012499,           0.0090196,             0.89292,             0.87763,             0.90967,             0.59339,            0.018686,           0.0034731,           0.0029161,            0.004852,            0.004852,            0.004852
                  15,            0.019487,            0.012236,           0.0079226,             0.90249,             0.86679,             0.91211,              0.6365,            0.017683,           0.0033275,           0.0024753,            0.004456,            0.004456,            0.004456
                  16,            0.019132,            0.012151,           0.0080988,             0.91461,              0.9126,             0.92968,             0.66102,            0.016968,           0.0032505,           0.0022964,             0.00406,             0.00406,             0.00406
                  17,            0.018609,            0.011849,           0.0076725,             0.92604,             0.91204,              0.9342,             0.66495,            0.016705,            0.003241,           0.0019465,            0.003664,            0.003664,            0.003664
                  18,            0.017859,            0.011725,           0.0066785,             0.91704,             0.90339,             0.93062,             0.65976,            0.016291,           0.0032184,           0.0021164,            0.003268,            0.003268,            0.003268
                  19,            0.017919,            0.011494,           0.0064052,             0.93488,             0.91943,             0.94104,             0.67632,            0.016116,           0.0031209,           0.0017537,            0.002872,            0.002872,            0.002872
                  20,            0.017336,            0.011262,            0.006352,             0.92994,             0.91309,             0.93964,             0.68558,             0.01541,           0.0031385,           0.0023207,            0.002476,            0.002476,            0.002476
                  21,            0.016962,            0.011247,           0.0061562,             0.93872,             0.92558,             0.94721,             0.68384,             0.01567,           0.0031419,           0.0021317,             0.00208,             0.00208,             0.00208
                  22,            0.015272,            0.010836,           0.0056221,             0.93174,             0.92471,             0.94122,             0.68881,            0.015577,           0.0030685,            0.001946,            0.001684,            0.001684,            0.001684
                  23,            0.015147,            0.010858,           0.0054409,             0.94289,             0.93414,              0.9533,             0.69932,            0.015108,           0.0029951,           0.0024142,            0.001288,            0.001288,            0.001288
                  24,            0.015343,            0.010798,           0.0050551,              0.9317,             0.91953,             0.94682,             0.70495,            0.014938,           0.0029984,           0.0019609,            0.000892,            0.000892,            0.000892
