                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0493,                 2.8122,                 1.5243,                0.72193,                0.66723,                0.68868,                0.44622,                  1.095,                 2.3436,                 1.9146,               0.070484,              0.0032796,              0.0032796
                      1,                0.94901,                 1.6402,                 1.4711,                0.44913,                0.63872,                0.56918,                0.32183,                 1.4449,                 2.1447,                 2.4214,               0.040222,               0.006351,               0.006351
                      2,                 1.0156,                 1.4934,                 1.4847,                0.43229,                0.44437,                0.43551,                0.24969,                   1.56,                 2.6934,                 2.4676,              0.0096961,              0.0091585,              0.0091585
                      3,                 1.1046,                 1.5568,                 1.5698,                0.51459,                 0.5779,                0.57972,                 0.3299,                 1.4905,                  2.592,                 2.8291,               0.008812,               0.008812,               0.008812
                      4,                  1.184,                 1.6472,                 1.6442,                0.51205,                0.41698,                 0.3731,                0.17391,                 1.7666,                 3.1292,                 3.3109,               0.008812,               0.008812,               0.008812
                      5,                 1.1437,                 1.6152,                 1.6044,                0.42391,                0.41597,                0.40572,                0.18843,                 1.9565,                 2.4664,                 3.4592,               0.008416,               0.008416,               0.008416
                      6,                 1.1562,                  1.529,                 1.6074,                0.61363,                0.67673,                0.68668,                0.41002,                 1.4109,                 1.6676,                 2.5732,                0.00802,                0.00802,                0.00802
                      7,                 1.1047,                 1.5347,                 1.5957,                0.69314,                0.70753,                0.73805,                0.44389,                 1.3122,                 1.6996,                 2.2942,               0.007624,               0.007624,               0.007624
                      8,                 1.1109,                 1.5207,                 1.5945,                0.75178,                0.72177,                0.77194,                0.48158,                 1.3411,                 1.3124,                 2.3614,               0.007228,               0.007228,               0.007228
                      9,                 1.0663,                 1.4088,                  1.552,                0.74587,                0.69421,                0.75541,                0.48157,                 1.2585,                 1.4681,                 2.2609,               0.006832,               0.006832,               0.006832
                     10,                 1.0432,                 1.3613,                  1.543,                0.76586,                0.75507,                 0.8087,                0.55124,                 1.1057,                 1.2913,                 1.9877,               0.006436,               0.006436,               0.006436
                     11,                 1.0288,                 1.2917,                 1.5265,                 0.7444,                0.68199,                 0.7596,                0.48934,                 1.2427,                 1.3324,                 2.0693,                0.00604,                0.00604,                0.00604
                     12,                 1.0172,                 1.2939,                 1.4995,                0.82986,                0.73088,                0.82316,                0.56549,                 1.1158,                  1.068,                 1.9864,               0.005644,               0.005644,               0.005644
                     13,                0.99004,                 1.2572,                 1.5104,                 0.8207,                0.79952,                0.85622,                0.58058,                 1.0666,                0.98088,                 1.9162,               0.005248,               0.005248,               0.005248
                     14,                 0.9662,                 1.2015,                 1.4803,                0.84104,                 0.8378,                0.86676,                0.60364,                 1.0554,                0.89234,                  1.906,               0.004852,               0.004852,               0.004852
                     15,                0.83025,                0.93866,                 1.5449,                0.81753,                0.80997,                0.83246,                 0.5468,                 1.1798,                0.99356,                 2.0672,               0.004456,               0.004456,               0.004456
                     16,                0.80449,                0.94481,                 1.5239,                0.81914,                 0.8059,                0.85045,                0.57686,                 1.1233,                0.96068,                 2.0037,                0.00406,                0.00406,                0.00406
                     17,                0.79382,                0.88758,                  1.528,                0.85599,                0.80889,                0.86549,                0.60932,                 1.0231,                0.91246,                 1.8563,               0.003664,               0.003664,               0.003664
                     18,                0.74559,                0.83006,                 1.4942,                0.89977,                0.81962,                0.88873,                0.63125,                 1.0013,                0.81776,                 1.8417,               0.003268,               0.003268,               0.003268
                     19,                0.71556,                0.73722,                 1.4568,                0.89971,                0.84341,                0.90271,                 0.6465,                 1.0044,                0.76655,                 1.8162,               0.002872,               0.002872,               0.002872
                     20,                0.70495,                0.71819,                 1.4407,                 0.8598,                0.82463,                0.87883,                0.62733,                 1.0184,                0.84232,                 1.8389,               0.002476,               0.002476,               0.002476
                     21,                0.67389,                0.67122,                 1.4183,                0.87572,                0.85226,                0.90269,                 0.6682,                0.90922,                0.74852,                 1.6973,                0.00208,                0.00208,                0.00208
                     22,                0.65315,                  0.613,                 1.3739,                0.88537,                0.85696,                0.90718,                0.66762,                 0.9604,                0.72932,                 1.7621,               0.001684,               0.001684,               0.001684
                     23,                0.63496,                0.58412,                 1.3534,                0.91071,                0.87978,                0.92319,                0.69742,                0.88866,                0.64452,                 1.6809,               0.001288,               0.001288,               0.001288
                     24,                0.59633,                0.51146,                 1.3173,                0.92472,                 0.8783,                0.92951,                0.69542,                0.90167,                 0.6203,                 1.6855,               0.000892,               0.000892,               0.000892
