                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.38111,                  1.226,                 1.0763,                0.85099,                0.84854,                0.88719,                0.81029,                0.46351,                0.56004,                0.56524,               0.070029,              0.0033301,              0.0033301
                      1,                0.36093,                0.73996,                 1.0287,                0.79034,                0.79629,                0.85935,                0.76816,                0.57448,                 1.1316,                0.68181,               0.039641,              0.0062754,              0.0062754
                      2,                 0.3893,                0.80902,                  1.038,                0.76687,                0.73147,                0.79037,                0.72596,                0.58313,                0.99877,                0.72797,              0.0088644,              0.0088325,              0.0088325
                      3,                0.38178,                0.81275,                 1.0335,                0.80404,                0.82643,                 0.8882,                0.80031,                0.52323,                0.75862,                0.65108,              0.0082529,              0.0082529,              0.0082529
                      4,                0.35422,                0.72119,                 1.0197,                0.91734,                0.88378,                0.92021,                0.83118,                   0.52,                0.53825,                0.61276,              0.0082529,              0.0082529,              0.0082529
                      5,                0.33444,                0.65831,                 1.0114,                0.91444,                0.90477,                0.93541,                0.83989,                0.45769,                0.49546,                0.57007,              0.0076706,              0.0076706,              0.0076706
                      6,                0.30781,                0.58949,                0.99731,                0.90941,                0.90755,                0.94361,                0.84902,                0.47049,                0.43606,                0.57333,              0.0070882,              0.0070882,              0.0070882
                      7,                0.42402,                0.46976,                 1.0894,                0.88388,                0.90256,                0.92689,                 0.8377,                0.49991,                0.53046,                0.62576,              0.0065059,              0.0065059,              0.0065059
                      8,                 0.3962,                0.42581,                 1.0726,                0.91042,                 0.9032,                0.93681,                  0.848,                 0.5036,                0.50817,                0.64118,              0.0059235,              0.0059235,              0.0059235
                      9,                0.38942,                0.38701,                 1.0644,                0.92937,                0.89849,                0.94654,                0.85239,                0.49584,                0.51914,                0.61325,              0.0053412,              0.0053412,              0.0053412
                     10,                 0.3804,                0.35624,                 1.0584,                0.94368,                0.89898,                0.95387,                0.85103,                0.48478,                0.50497,                0.60343,              0.0047588,              0.0047588,              0.0047588
                     11,                0.37406,                0.32882,                 1.0591,                0.94421,                 0.9069,                0.96078,                0.86906,                0.50466,                0.53819,                0.65337,              0.0041765,              0.0041765,              0.0041765
                     12,                0.36384,                0.30433,                 1.0506,                0.93423,                0.88498,                0.95147,                0.85013,                0.47067,                0.54637,                0.59814,              0.0035941,              0.0035941,              0.0035941
                     13,                0.35603,                0.28147,                 1.0423,                0.96441,                0.90795,                0.96634,                0.87158,                0.44788,                0.49143,                  0.564,              0.0030118,              0.0030118,              0.0030118
                     14,                0.34597,                0.26147,                 1.0367,                0.95151,                0.92153,                0.96866,                0.87674,                0.45271,                0.47487,                0.57595,              0.0024294,              0.0024294,              0.0024294
                     15,                 0.3419,                0.23901,                 1.0317,                0.94218,                0.88229,                0.97005,                0.87661,                0.44395,                0.55829,                 0.5592,              0.0018471,              0.0018471,              0.0018471
                     16,                0.33226,                0.22099,                 1.0234,                0.95148,                0.94957,                0.97526,                0.88456,                0.42236,                0.38661,                0.54903,              0.0012647,              0.0012647,              0.0012647
