                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0212,                 2.7325,                 1.5158,                0.60177,                0.75157,                0.74403,                0.51784,                   0.97,                 2.0206,                 1.7884,               0.070423,              0.0032864,              0.0032864
                      1,                0.92719,                  1.573,                 1.4307,                0.58704,                0.66077,                0.66949,                0.40562,                 1.2143,                 2.2545,                 2.2115,                0.04016,              0.0063576,              0.0063576
                      2,                 1.0253,                 1.5205,                 1.4953,                0.39591,                0.42009,                0.38806,                0.20699,                 1.5909,                 2.6812,                 2.5828,              0.0096343,              0.0091648,              0.0091648
                      3,                 1.1049,                 1.5728,                 1.5455,                0.39043,                0.30229,                0.30438,                0.15974,                 1.9468,                 3.3437,                 3.1365,               0.008812,               0.008812,               0.008812
                      4,                  1.165,                 1.6422,                 1.6134,                0.53685,                0.55876,                0.54142,                0.25204,                 1.5747,                 1.9963,                 2.7597,               0.008812,               0.008812,               0.008812
                      5,                 1.1747,                 1.6411,                 1.6069,                 0.6521,                0.64087,                0.67031,                0.39896,                 1.3501,                 1.7416,                 2.4254,               0.008416,               0.008416,               0.008416
                      6,                 1.1437,                 1.4987,                 1.5945,                0.68951,                0.64368,                0.69073,                0.37197,                 1.5123,                 1.7921,                 2.8861,                0.00802,                0.00802,                0.00802
                      7,                 1.0825,                 1.4531,                 1.5655,                0.67324,                0.63325,                0.66908,                0.39795,                 1.3597,                 1.6933,                 2.2765,               0.007624,               0.007624,               0.007624
                      8,                 1.0904,                 1.4577,                 1.5744,                0.72943,                0.70911,                0.76006,                 0.4853,                 1.2007,                 1.4747,                  2.109,               0.007228,               0.007228,               0.007228
                      9,                 1.0629,                 1.3946,                 1.5537,                0.76816,                0.77765,                0.81673,                0.54927,                 1.1023,                 1.1999,                 1.9902,               0.006832,               0.006832,               0.006832
                     10,                 1.0332,                 1.3387,                  1.523,                0.79622,                0.78047,                0.83453,                0.54441,                 1.2247,                 1.1679,                 2.2014,               0.006436,               0.006436,               0.006436
                     11,                  1.015,                 1.2781,                 1.4985,                0.83703,                0.80656,                0.85342,                 0.5465,                  1.214,                 1.0741,                  2.126,                0.00604,                0.00604,                0.00604
                     12,                0.97498,                 1.2351,                 1.4937,                0.81145,                0.78229,                0.84026,                0.57221,                  1.102,                 1.0527,                 1.9585,               0.005644,               0.005644,               0.005644
                     13,                0.96266,                 1.2066,                  1.462,                0.82061,                0.77479,                0.85252,                0.58725,                 1.0542,                 1.0775,                 1.9071,               0.005248,               0.005248,               0.005248
                     14,                0.96596,                 1.2061,                  1.481,                0.76152,                 0.6683,                0.78137,                  0.526,                 1.0999,                 1.2739,                  1.942,               0.004852,               0.004852,               0.004852
                     15,                0.80111,                0.92051,                 1.5208,                  0.836,                0.79305,                0.84895,                0.58227,                 1.1072,                0.99449,                 1.9795,               0.004456,               0.004456,               0.004456
                     16,                0.78054,                  0.878,                 1.5062,                0.84079,                0.78972,                 0.8701,                0.60901,                 1.0247,                0.95464,                  1.859,                0.00406,                0.00406,                0.00406
                     17,                0.75696,                0.79346,                 1.4971,                0.87137,                0.82229,                0.88638,                0.62249,                 1.0333,                0.84281,                 1.8635,               0.003664,               0.003664,               0.003664
                     18,                0.71787,                0.74514,                  1.458,                 0.8817,                0.85749,                0.89654,                0.64929,                0.97551,                0.78271,                  1.788,               0.003268,               0.003268,               0.003268
                     19,                0.71768,                0.72056,                 1.4462,                0.86491,                0.79966,                0.87309,                0.62311,                 1.0192,                0.87863,                 1.8642,               0.002872,               0.002872,               0.002872
                     20,                0.69796,                0.69991,                 1.4361,                0.88826,                 0.8679,                0.91109,                0.66557,                0.93996,                0.74814,                 1.7309,               0.002476,               0.002476,               0.002476
                     21,                0.66978,                0.64661,                 1.4128,                0.89724,                0.85371,                0.90663,                0.66537,                0.91949,                0.73692,                 1.7203,                0.00208,                0.00208,                0.00208
                     22,                0.60506,                0.59184,                 1.3214,                0.90932,                0.88436,                0.92271,                 0.6831,                0.90844,                0.66566,                 1.7071,               0.001684,               0.001684,               0.001684
                     23,                0.60973,                0.57361,                 1.3433,                0.91515,                0.88558,                0.92655,                0.68855,                0.91104,                0.64729,                 1.7153,               0.001288,               0.001288,               0.001288
                     24,                0.60295,                0.52257,                 1.3313,                0.92576,                0.88543,                0.92982,                0.69718,                0.88736,                0.63914,                 1.6705,               0.000892,               0.000892,               0.000892
