                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4827,                 4.5218,                  2.833,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.070423,              0.0032864,              0.0032864
                      1,                 2.4752,                 4.0624,                 2.9257,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.04016,              0.0063576,              0.0063576
                      2,                 2.2809,                 3.9952,                 2.8005,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0096343,              0.0091648,              0.0091648
                      3,                 2.2387,                 3.9156,                 2.7604,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                 4.9697,                    inf,                  6.702,               0.008812,               0.008812,               0.008812
                      4,                 2.1104,                  3.841,                 2.6348,                0.01194,                0.07265,                0.00631,                0.00192,                 2.6083,                    inf,                 4.4675,               0.008812,               0.008812,               0.008812
                      5,                 2.1103,                 3.8321,                 2.6335,                0.00207,                0.41487,                0.00255,                0.00055,                 2.5447,                 8.0161,                   3.72,               0.008416,               0.008416,               0.008416
                      6,                 2.0179,                 3.6848,                 2.5055,                0.17182,                0.11554,                  0.005,                0.00125,                  2.221,                 9.6978,                 3.3018,                0.00802,                0.00802,                0.00802
                      7,                 1.9254,                   3.59,                 2.4449,                 0.3356,                0.24372,                0.00555,                0.00156,                 1.9892,                 6.4753,                 3.0308,               0.007624,               0.007624,               0.007624
                      8,                 1.9153,                 3.5381,                  2.403,                0.00246,                0.68488,                0.00747,                0.00249,                 1.9314,                 5.2317,                 2.9787,               0.007228,               0.007228,               0.007228
                      9,                 1.8691,                 3.4388,                 2.3426,                0.00296,                0.83134,                0.00716,                 0.0024,                 2.0408,                 4.9954,                 3.0791,               0.006832,               0.006832,               0.006832
                     10,                 1.8127,                 3.3831,                 2.2857,                0.86447,                0.09183,                 0.0767,                0.02635,                 1.8717,                 3.9966,                 3.0301,               0.006436,               0.006436,               0.006436
                     11,                 1.8275,                 3.3261,                 2.2746,                0.37315,                0.14313,                 0.0379,                0.01462,                 1.9242,                 3.7986,                 3.1246,                0.00604,                0.00604,                0.00604
                     12,                 1.7644,                 3.2548,                  2.249,                0.38168,                 0.2454,                 0.0431,                0.01473,                 1.9806,                 4.6629,                 3.2324,               0.005644,               0.005644,               0.005644
                     13,                 1.7723,                 3.2384,                  2.217,                 0.4063,                0.18169,                0.05998,                0.01935,                 1.8974,                 3.5506,                 3.0697,               0.005248,               0.005248,               0.005248
                     14,                 1.7259,                 3.1374,                 2.1707,                0.40273,                0.17003,                0.08193,                0.03061,                 1.8094,                 3.6061,                 2.9307,               0.004852,               0.004852,               0.004852
                     15,                 1.5226,                 3.3084,                 2.2374,                0.23183,                0.43381,                0.09777,                0.03307,                 2.0126,                 3.1355,                 3.3832,               0.004456,               0.004456,               0.004456
                     16,                 1.5417,                 2.9522,                 2.3328,                0.42884,                0.32148,                0.12766,                0.05316,                 1.7574,                 3.3133,                 2.9088,                0.00406,                0.00406,                0.00406
                     17,                 1.5333,                  2.693,                 2.2788,                0.29024,                0.35349,                0.16471,                0.06671,                 1.7819,                 2.7499,                 3.0494,               0.003664,               0.003664,               0.003664
                     18,                 1.5378,                 2.5496,                 2.2966,                 0.1213,                0.33839,                0.13225,                0.05838,                 1.8416,                 2.7603,                 3.0617,               0.003268,               0.003268,               0.003268
                     19,                 1.5587,                 2.5027,                 2.2731,                 0.2347,                0.35485,                0.15846,                0.07003,                 1.8279,                 2.5878,                 2.9924,               0.002872,               0.002872,               0.002872
                     20,                 1.5469,                 2.4694,                 2.3012,                0.25068,                0.35176,                0.19494,                 0.0812,                 1.9244,                  2.595,                 3.0449,               0.002476,               0.002476,               0.002476
                     21,                 1.4738,                 2.4015,                 2.2535,                 0.2051,                0.42997,                0.19834,                0.08446,                 1.7705,                 2.5017,                  2.967,                0.00208,                0.00208,                0.00208
                     22,                 1.4894,                 2.3578,                 2.2137,                0.23745,                0.45363,                0.22001,                0.10234,                 1.7362,                 2.4593,                 2.8663,               0.001684,               0.001684,               0.001684
                     23,                  1.472,                  2.355,                  2.202,                 0.2016,                0.44034,                0.23988,                0.11154,                 1.6829,                 2.3848,                 2.7918,               0.001288,               0.001288,               0.001288
                     24,                 1.4739,                 2.2856,                 2.1968,                0.24194,                0.46086,                0.25658,                0.12208,                 1.6879,                 2.3256,                 2.7801,               0.000892,               0.000892,               0.000892
